"tree.ID","forest","habitat","dbh.in","height.ft","age"
1,4,5,14.6,71.4,55
1,4,5,12.4,61.4,45
1,4,5,8.8,40.1,35
1,4,5,7,28.6,25
1,4,5,4,19.6,15
2,4,5,20,103.4,107
2,4,5,18.8,92.2,97
2,4,5,17,80.8,87
2,4,5,15.9,76.2,77
2,4,5,14,70.7,67
2,4,5,11.7,56.6,57
2,4,5,10.6,43,47
2,4,5,8,35.6,37
2,4,5,6.2,29.3,27
2,4,5,3.4,16.2,17
3,4,3,29.2,158.3,130
3,4,3,28.1,138.9,120
3,4,3,27,132,110
3,4,3,26.1,125.1,100
3,4,3,24.9,119.1,90
3,4,3,22.3,109.3,80
3,4,3,21.5,103.8,70
3,4,3,19.1,94.7,60
3,4,3,17.3,87.5,50
3,4,3,14.5,74.7,40
3,4,3,9.9,57,30
3,4,3,4.6,38.1,20
4,3,1,18.4,108.4,83
4,3,1,17.2,100.8,73
4,3,1,15.6,93.7,63
4,3,1,13.7,85.8,53
4,3,1,11.6,72.5,43
4,3,1,8.5,50.4,33
4,3,1,5.3,27.6,23
4,3,1,2.8,17.8,13
5,3,1,13.3,86,64
5,3,1,10.6,66.7,54
5,3,1,7.2,46.5,44
5,3,1,4.8,32.7,34
5,3,1,3.1,20.2,24
5,3,1,1.3,8.8,14
6,1,1,19.9,122,92
6,1,1,18.6,113.5,82
6,1,1,16.2,103.9,72
6,1,1,14.2,97.4,62
6,1,1,12.3,91.5,52
6,1,1,9.4,82.6,42
6,1,1,6.8,66.7,32
6,1,1,4.9,40,22
6,1,1,2.6,18.5,12
7,1,1,22,132.4,72
7,1,1,19.5,121.7,62
7,1,1,16.8,111.5,52
7,1,1,14,102.7,42
7,1,1,10.5,88.5,32
7,1,1,6.5,60.5,22
7,1,1,3,27.2,12
11,2,4,16.5,88.7,122
11,2,4,15.5,83.4,112
11,2,4,14.5,78.3,102
11,2,4,13.7,74.5,92
11,2,4,12.7,69.7,82
11,2,4,11.4,65.7,72
11,2,4,9.5,62.5,62
11,2,4,8,58,52
11,2,4,5.9,45.4,42
11,2,4,4.1,29.8,32
11,2,4,2.6,18.1,22
12,2,4,19.6,102.4,97
12,2,4,17.8,95.1,87
12,2,4,15.8,86.3,77
12,2,4,14,79.7,67
12,2,4,12.9,72,57
12,2,4,9.7,52.4,47
12,2,4,7.3,37.4,37
12,2,4,4.8,25.1,27
12,2,4,3,13.8,17
13,2,4,17.6,103.7,90
13,2,4,16.1,95.3,80
13,2,4,14.3,86,70
13,2,4,12.2,72,60
13,2,4,9.7,52.5,50
13,2,4,6.6,33.1,40
13,2,4,4.5,24.2,30
13,2,4,2.6,18.8,20
15,3,1,10.4,79.9,57
15,3,1,9.4,70,47
15,3,1,7.3,60,37
15,3,1,6,48,27
15,3,1,4.1,34.5,17
17,4,3,24,113,127
17,4,3,22.3,107.9,117
17,4,3,20.6,103.2,107
17,4,3,19.1,98.3,97
17,4,3,17.7,93.8,87
17,4,3,15.7,84.5,77
17,4,3,14,80.2,67
17,4,3,12.3,75.1,57
17,4,3,11.5,71.9,47
17,4,3,9.5,63.1,37
17,4,3,7.1,47.2,27
17,4,3,4.4,28.5,17
18,4,3,10.8,81.8,46
18,4,3,8,61.2,36
18,4,3,4.7,34.6,26
18,4,3,2.5,15.1,16
19,2,1,26.7,149.8,172
19,2,1,25.4,144.6,162
19,2,1,24.3,138.6,152
19,2,1,23.2,131.8,142
19,2,1,22.1,126.2,132
19,2,1,19.3,118.6,122
19,2,1,17.5,112.1,112
19,2,1,15.7,104.8,102
19,2,1,13.4,93,92
19,2,1,11.7,80.9,82
28,5,3,28,169.5,123
28,5,3,27.2,162.6,113
28,5,3,26.1,155,103
28,5,3,25,150,93
28,5,3,23.7,141.6,83
28,5,3,21.3,127.1,73
28,5,3,19,118.7,63
28,5,3,16.7,103.7,53
28,5,3,12.2,90.8,43
28,5,3,9.8,77.8,33
28,5,3,7.1,54.7,23
28,5,3,4.1,26.4,13
29,5,3,21.5,150.5,77
29,5,3,18.1,135.9,67
29,5,3,14.6,120,57
29,5,3,11.5,96,47
29,5,3,7.8,74.2,37
29,5,3,4.4,42.3,27
29,5,3,2.7,17.8,17
30,4,3,25.5,155.2,124
30,4,3,23.8,149.3,114
30,4,3,22.3,142.7,104
30,4,3,21,136.5,94
30,4,3,19.8,131.5,84
30,4,3,18.3,122.8,74
30,4,3,17.3,116.2,64
30,4,3,15.1,104,54
30,4,3,13.2,88.2,44
30,4,3,10.1,72.4,34
30,4,3,7,52.5,24
30,4,3,3.8,30.7,14
31,4,3,34.3,206.5,141
31,4,3,32.5,199.2,131
31,4,3,30.6,191.8,121
31,4,3,28.5,184.9,111
31,4,3,26.1,174.5,101
31,4,3,22.6,164.3,91
31,4,3,19.5,152.1,81
31,4,3,15.7,142.2,71
31,4,3,14.2,127.9,61
31,4,3,11.4,111.6,51
31,4,3,8.6,90.9,41
31,4,3,5.8,65.2,31
31,4,3,4,42.9,21
32,5,3,18.1,103.2,43
32,5,3,13.8,77.3,33
32,5,3,9,58.7,23
32,5,3,4.4,28.1,13
33,2,1,21.5,148.5,72
33,2,1,19.6,134.9,62
33,2,1,17.4,118.5,52
33,2,1,14.5,98.5,42
33,2,1,10.9,78,32
33,2,1,7.2,48.2,22
33,2,1,3,22.2,12
34,1,1,21.7,137,78
34,1,1,19.7,123.9,68
34,1,1,17.8,107.4,58
34,1,1,15.4,89.9,48
34,1,1,12.5,67.8,38
34,1,1,8.9,44.4,28
34,1,1,4.6,22,18
35,5,4,14.2,89.4,54
35,5,4,11.6,79.5,44
35,5,4,8.7,57.3,34
35,5,4,6.3,43,24
35,5,4,3.4,21.1,14
36,5,4,7.1,51.3,44
36,5,4,5.4,39.6,34
36,5,4,3.6,24.9,24
36,5,4,2.2,14.8,14
37,5,4,24.1,143,117
37,5,4,21.6,136.5,107
37,5,4,18.6,128.6,97
37,5,4,16.8,121.2,87
37,5,4,15.2,114.6,77
37,5,4,13.6,101.5,67
37,5,4,11.5,83,57
37,5,4,9.8,69.9,47
37,5,4,7.6,57.3,37
37,5,4,4.5,33.4,27
37,5,4,2.8,20.5,17
37,5,4,0.7,7.5,7
38,2,4,17.1,83.5,71
38,2,4,15.1,76.1,61
38,2,4,13.1,63.9,51
38,2,4,11.7,55.2,41
38,2,4,9.3,45.3,31
38,2,4,5.5,29.3,21
38,2,4,2.7,13.2,11
39,2,5,17.4,104,78
39,2,5,15.8,93.1,68
39,2,5,13.3,69.6,58
39,2,5,11.3,61.6,48
39,2,5,8.7,48.8,38
39,2,5,6.3,28.6,28
39,2,5,5.2,15,18
39,2,5,2.5,8.7,8
40,5,4,13.3,82.9,86
40,5,4,11,69.7,76
40,5,4,8.6,50.2,66
40,5,4,7.7,46.6,56
40,5,4,5.9,36.9,46
40,5,4,4.2,26.3,36
40,5,4,2.9,17.8,26
40,5,4,1.9,11.1,16
41,9,4,23.6,132.1,82
41,9,4,20.5,122.9,72
41,9,4,16.9,109.9,62
41,9,4,14.1,91,52
41,9,4,11.1,74.4,42
41,9,4,8,51.7,32
41,9,4,5.1,34.1,22
41,9,4,2.9,16,12
42,9,5,24.1,130.6,86
42,9,5,20.9,118.2,76
42,9,5,17.1,94,66
42,9,5,15,76.7,56
42,9,5,12.3,72.3,46
42,9,5,8.2,53.2,36
42,9,5,5.4,29.6,26
42,9,5,2.6,13.6,16
43,9,4,12.3,90.3,65
43,9,4,9.9,74.7,55
43,9,4,7.8,52.7,45
43,9,4,6.1,42.3,35
43,9,4,4.2,32.9,25
43,9,4,2.3,17.6,15
44,9,4,25.2,116.4,138
44,9,4,23.2,108.4,128
44,9,4,21.1,100.3,118
44,9,4,20.1,92.7,108
44,9,4,18.9,86.2,98
44,9,4,15.4,74.6,88
44,9,4,12.9,61.7,78
44,9,4,10.1,51.4,68
44,9,4,8.4,44.6,58
44,9,4,5.9,34.1,48
44,9,4,4.4,27,38
45,9,4,17.5,100.6,108
45,9,4,14.8,86.3,98
45,9,4,12.2,68.5,88
45,9,4,11.1,62.2,78
45,9,4,9.2,56.9,68
45,9,4,7,36.6,58
45,9,4,5.7,34.1,48
45,9,4,3.9,26.5,38
45,9,4,2.5,13.8,28
46,9,4,9.4,52.4,39
46,9,4,5.5,30.3,29
46,9,4,2.4,14.7,19
46,9,4,1,8,9
47,9,4,9.4,64.7,44
47,9,4,6.4,48,34
47,9,4,3.6,21.2,24
47,9,4,2.1,8.6,14
48,5,4,22.1,123,107
48,5,4,19.8,114.6,97
48,5,4,17.3,105.9,87
48,5,4,15.7,100.5,77
48,5,4,13.1,91,67
48,5,4,11,79.9,57
48,5,4,8.9,66.1,47
48,5,4,6.7,51,37
48,5,4,4.7,38.3,27
48,5,4,3,22.9,17
49,5,4,17.4,119.1,88
49,5,4,15.1,107.7,78
49,5,4,12.8,94.9,68
49,5,4,10.6,81,58
49,5,4,7.6,57.6,48
49,5,4,5,29,38
49,5,4,2.9,16,28
49,5,4,1.5,10.5,18
50,5,5,10.1,79,44
50,5,5,7.6,60.6,34
50,5,5,4.2,29.5,24
50,5,5,2.5,14.3,14
51,5,5,12.3,73.8,82
51,5,5,10.5,62.7,72
51,5,5,8.2,57.1,62
51,5,5,6.5,38.7,52
51,5,5,4.8,25.7,42
51,5,5,2.7,12.8,32
52,5,4,16.4,116.5,112
52,5,4,15.1,109.8,102
52,5,4,14,103.9,92
52,5,4,12.9,97.3,82
52,5,4,11.7,88.1,72
52,5,4,10.1,72.1,62
52,5,4,8.9,58.9,52
52,5,4,8.1,46.4,42
52,5,4,6.4,36.3,32
52,5,4,4.5,23.8,22
52,5,4,2.3,13.8,12
53,5,5,21.9,103.8,101
53,5,5,19.6,98.1,91
53,5,5,17.3,92.6,81
53,5,5,15.7,87,71
53,5,5,13.7,77.4,61
53,5,5,10.8,65.4,51
53,5,5,8,45.9,41
53,5,5,5.2,26.3,31
53,5,5,2.9,15.6,21
53,5,5,1.2,8.7,11
54,5,3,12.2,97.9,61
54,5,3,10.6,84.6,51
54,5,3,8.2,64,41
54,5,3,5.6,43,31
54,5,3,3.4,26.2,21
54,5,3,1.6,14.9,11
55,5,3,13.2,93,53
55,5,3,10.6,80,43
55,5,3,7.5,54.9,33
55,5,3,5.3,29.9,23
55,5,3,2.9,17,13
56,5,4,14.3,105.8,53
56,5,4,11.8,88.7,43
56,5,4,7.8,67.5,33
56,5,4,5.4,40.9,23
56,5,4,2.9,28.6,13
57,5,5,29.2,147,129
57,5,5,27.6,138.5,119
57,5,5,26.2,128.8,109
57,5,5,25.3,124.3,99
57,5,5,23.3,119.4,89
57,5,5,20.2,108,79
57,5,5,17.8,101.6,69
57,5,5,15.2,95,59
57,5,5,12.2,85.5,49
57,5,5,9.5,70.7,39
57,5,5,7.3,53.5,29
57,5,5,5,33.1,19
57,5,5,2.3,15.3,9
58,5,5,15.1,87,59
58,5,5,10.8,78,49
58,5,5,8.9,61.1,39
58,5,5,7.1,41.8,29
58,5,5,5.1,28.9,19
58,5,5,2.1,13.9,9
59,4,3,26.8,161.7,129
59,4,3,25,154.4,119
59,4,3,22.7,147.2,109
59,4,3,20.6,141.3,99
59,4,3,18.9,135.6,89
59,4,3,16.5,125.3,79
59,4,3,14.7,116.4,69
59,4,3,12.3,99.3,59
59,4,3,10.5,91.1,49
59,4,3,8.1,75.2,39
59,4,3,5.8,52.6,29
59,4,3,4.3,27.8,19
59,4,3,1.6,10.8,9
60,3,5,18,91.6,69
60,3,5,15.4,81.2,59
60,3,5,12.8,70.4,49
60,3,5,10.1,55.2,39
60,3,5,7.3,38.1,29
60,3,5,4.1,21.4,19
60,3,5,1.5,10.4,9
61,3,1,26.6,160.3,130
61,3,1,25,154.8,120
61,3,1,23.9,147.3,110
61,3,1,22.9,139.8,100
61,3,1,21.6,132.8,90
61,3,1,20,120.2,80
61,3,1,18.5,111.5,70
61,3,1,16.5,100.1,60
61,3,1,14,84.2,50
61,3,1,11.1,65.2,40
61,3,1,8,44.9,30
61,3,1,5.4,27,20
61,3,1,2.3,14.8,10
62,6,5,21.3,139.9,135
62,6,5,20.2,134.1,125
62,6,5,19.1,127.7,115
62,6,5,18,120.1,105
62,6,5,16.9,115.2,95
62,6,5,15.6,108.7,85
62,6,5,14.8,104.8,75
62,6,5,13.3,97.6,65
62,6,5,11.3,80.6,55
62,6,5,9.2,71.2,45
62,6,5,6.7,50.8,35
62,6,5,3.9,28.8,25
62,6,5,1.7,13.7,15
63,7,4,13.9,85.2,67
63,7,4,12.4,75.1,57
63,7,4,10.6,62.1,47
63,7,4,8.1,46.3,37
63,7,4,5.8,31,27
63,7,4,3.4,17.5,17
64,6,1,17.4,122.2,95
64,6,1,16,111.7,85
64,6,1,14.9,100.8,75
64,6,1,13.4,92.6,65
64,6,1,11.7,84,55
64,6,1,8.6,67.7,45
64,6,1,6.8,48.4,35
64,6,1,4,30.6,25
64,6,1,2.1,16,15
65,1,2,27.5,144.8,132
65,1,2,26.1,139.2,122
65,1,2,24.8,133.4,112
65,1,2,23,128.4,102
65,1,2,21.3,121.6,92
65,1,2,19.8,113.5,82
65,1,2,17.7,105.9,72
65,1,2,15.1,94.8,62
65,1,2,11.9,70.7,52
65,1,2,9,41,42
65,1,2,5.3,26.1,32
65,1,2,2.8,16.3,22
65,1,2,1.5,10.5,12
66,8,4,20.8,104,87
66,8,4,17.7,94.6,77
66,8,4,15.6,85.9,67
66,8,4,13.2,80.3,57
66,8,4,10.5,75.3,47
66,8,4,7.5,52.5,37
66,8,4,4.8,33.3,27
66,8,4,2.9,19.8,17
67,8,4,12.9,84.1,87
67,8,4,11.3,77.5,77
67,8,4,9.8,68.8,67
67,8,4,8.7,59.2,57
67,8,4,7.4,45.4,47
67,8,4,5.7,30.5,37
67,8,4,4,21.7,27
67,8,4,2.4,13.8,17
68,7,4,27,147.7,124
68,7,4,25.6,139.6,114
68,7,4,23,127.7,104
68,7,4,20.2,116.2,94
68,7,4,17.4,98.8,84
68,7,4,13.6,70.4,74
68,7,4,11.7,69.1,64
68,7,4,8.7,47.2,54
68,7,4,6.1,29.1,44
68,7,4,3.2,14.8,34
69,7,5,16.4,94.3,70
69,7,5,14.4,84.2,60
69,7,5,12.2,68.8,50
69,7,5,9.5,51,40
69,7,5,6.7,33.2,30
69,7,5,3.7,17.4,20
70,7,5,16.8,103.5,58
70,7,5,15.2,96.2,48
70,7,5,12.8,79,38
70,7,5,9.8,57,28
70,7,5,6.8,34.2,18
71,7,4,24,108.1,128
71,7,4,23,102,118
71,7,4,21.7,92,108
71,7,4,19.3,82.7,98
71,7,4,16.7,69,88
71,7,4,13.1,55.6,78
71,7,4,10.4,42.5,68
71,7,4,7.6,30.9,58
71,7,4,5.8,21.4,48
71,7,4,3.5,16.9,38
72,7,4,30.2,157.5,114
72,7,4,28.3,153.3,104
72,7,4,25.6,146.8,94
72,7,4,23,140.1,84
72,7,4,20.3,126.6,74
72,7,4,16.6,105.8,64
72,7,4,12.5,85.4,54
72,7,4,8.3,57.3,44
72,7,4,4.1,29.3,34
72,7,4,2.2,16.8,24
72,7,4,1,6.8,14
73,7,4,17.7,102.9,48
73,7,4,14.6,87.7,38
73,7,4,9.7,66.7,28
73,7,4,5.4,40.6,18
74,5,4,16.9,120.3,63
74,5,4,13.9,105.3,53
74,5,4,10.6,80.8,43
74,5,4,7.8,60.2,33
74,5,4,4.5,31.5,23
74,5,4,2.1,15.4,13
75,5,4,14.1,93.4,64
75,5,4,11.2,82.3,54
75,5,4,9.5,71.7,44
75,5,4,7.7,60.8,34
75,5,4,5.6,47.3,24
75,5,4,3.3,27.4,14
76,5,4,12,69.1,53
76,5,4,10.8,60.1,43
76,5,4,9,49.4,33
76,5,4,7.2,37.6,23
76,5,4,4.4,23.7,13
77,3,3,19.7,140.7,112
77,3,3,17.6,134.7,102
77,3,3,15.5,126.5,92
77,3,3,13.9,117.2,82
77,3,3,12.1,108.4,72
77,3,3,9.9,91.5,62
77,3,3,7.9,78.2,52
77,3,3,6.2,61,42
77,3,3,4.7,46.5,32
77,3,3,3.2,27.9,22
77,3,3,1.7,13.4,12
84,7,5,23,110.3,142
84,7,5,20.5,99.3,122
84,7,5,21.8,105.9,132
84,7,5,18.9,92.5,112
84,7,5,17.2,84.4,102
84,7,5,15,77.9,92
84,7,5,13.5,74.8,82
84,7,5,11.4,62.3,72
84,7,5,8.7,48.2,62
84,7,5,6.9,32.8,52
84,7,5,5.7,19.5,42
85,8,4,23.1,124.2,118
85,8,4,21.7,119.1,108
85,8,4,20.2,113.5,98
85,8,4,19.1,110.6,88
85,8,4,17.3,104.5,78
85,8,4,14.3,97.7,68
85,8,4,12.5,95.1,58
85,8,4,9.8,84.4,48
85,8,4,6.9,60.1,38
85,8,4,4.6,36.9,28
85,8,4,2.6,20.3,18
