"plot","tree","species","dbh.cm","height.m"
2,1,"DF",39,20.5
2,2,"WL",48,33
3,2,"GF",52,30
3,5,"WC",36,20.7
3,8,"WC",38,22.5
4,1,"WC",46,18
4,2,"DF",25,17
5,2,"DF",54.9,29.3
5,4,"GF",51.8,29
6,1,"DF",40.9,26
6,2,"WC",29,22
6,3,"WC",29.4,32
6,4,"WC",68.5,26
6,6,"WC",63,33
7,2,"WC",46.6,27.5
7,4,"WC",55.3,30
8,1,"GF",46.2,31.3
9,1,"WC",27.1,27
9,2,"GF",40,27
9,3,"GF",36.3,28
10,1,"DF",42,33
10,4,"WC",37.5,29.8
11,3,"GF",38.3,27.1
11,4,"GF",22.3,21.5
11,5,"DF",22.5,22.6
12,1,"WL",21.8,18
12,2,"WC",15.1,15.5
13,1,"WC",23,20
13,2,"WC",32,22.5
13,3,"WC",52.5,29
16,1,"GF",10.5,5
16,2,"WC",75,32
16,3,"WC",89.5,35
16,4,"GF",30,25
16,5,"GF",32,31
16,6,"GF",29.5,27
16,7,"WC",42.5,22.5
16,10,"WC",83,35
17,1,"WC",39,24
18,1,"WL",25,28
18,5,"WL",22.5,26
19,1,"WL",21,22.5
19,5,"WL",12.5,14
20,1,"GF",24,19
20,2,"GF",27.5,23
20,3,"DF",32.5,26.5
20,4,"GF",11.5,8
21,1,"GF",36.5,31.5
21,4,"DF",28.2,25
21,5,"GF",19.8,16
21,6,"WC",21.5,17.5
22,1,"WC",38.9,30
22,2,"WL",44.3,37.5
22,3,"GF",26.3,28
22,5,"DF",34.3,23.5
22,7,"WC",26.2,21
22,8,"DF",40.5,22
22,9,"WC",19.9,17
23,2,"WC",14.6,11
23,5,"GF",39.8,36.5
24,6,"WL",40.1,37.5
25,1,"GF",23,13
26,1,"GF",37.1,21
27,1,"DF",21.5,19
27,2,"GF",14.8,15
27,6,"WC",68.6,28
27,7,"WC",13.9,12.5
28,1,"GF",18.5,19
28,2,"GF",14.2,16
28,3,"WC",48.7,25
29,1,"GF",52.7,30
29,2,"GF",32.2,26
30,1,"WC",64,27
30,2,"GF",58.5,34
30,3,"WC",24.3,13
31,1,"GF",29.6,32
31,2,"WC",43,29
31,3,"DF",52.2,31
32,1,"WC",27.2,23
32,2,"WC",34,23
32,3,"WC",40.4,26
33,1,"WC",11.1,9.5
33,3,"GF",20.7,25
33,6,"DF",28.3,31
34,1,"WL",49.6,23
34,2,"WC",44.9,25
34,5,"GF",42.5,30
35,1,"GF",71.9,32
35,2,"WC",56.5,27.5
35,3,"WC",31.1,25
36,1,"WC",42.5,27
36,2,"GF",35.2,27
36,3,"GF",42.1,30
37,3,"DF",14,20
38,2,"WC",17.7,19
39,1,"WC",33.5,20
39,4,"WC",40.5,22
40,1,"WL",29.5,28
40,2,"WC",69,30
40,5,"WC",46.5,26
41,1,"WL",42.5,29
41,2,"WC",30.5,21
41,6,"WC",30.5,25
41,7,"WC",37.8,28
42,1,"WC",49.7,30
42,2,"WC",37.7,28
42,3,"DF",32.5,25
42,4,"WC",26.2,23
43,1,"WC",31,26
43,2,"WC",38.5,27
43,3,"WC",94,36
43,4,"WC",101.5,39
43,6,"DF",35,34
44,1,"WC",31.5,24.5
44,2,"GF",59,31.2
43,6,"DF",35,34
44,1,"WC",31.5,24.5
44,2,"GF",59,31.2
44,4,"WC",60.2,32
45,1,"GF",18,22
45,2,"WC",47.1,30
45,3,"WC",63.7,28.5
45,4,"DF",63.8,34
46,2,"WC",12.5,10
46,3,"WC",15.5,11.5
47,1,"GF",45.5,31.5
47,2,"WC",60,33
48,1,"WC",20,17.5
48,2,"WL",32,30
48,3,"DF",42,30.5
48,4,"GF",25.5,22.5
49,1,"WL",27.9,15
51,3,"WC",52.8,31.5
52,1,"WC",23.4,18
52,2,"GF",47.7,31
52,3,"GF",61.3,25
53,1,"WC",37.7,24.2
53,2,"DF",16.5,17.2
54,1,"GF",39.7,25.3
54,2,"WC",80.4,32
55,2,"DF",99.8,42
55,6,"WC",45.6,32.5
56,1,"WC",38.7,27
56,3,"DF",50.2,37
56,4,"GF",68.3,39
57,1,"GF",42.2,32.8
57,2,"WC",34.4,25.7
57,3,"GF",18.5,20.2
58,1,"WC",54.3,30.5
59,1,"GF",86.1,40.2
59,3,"WC",51.9,32.5
60,1,"WC",25.8,22.8
60,2,"WC",40,21.1
60,3,"WC",37.4,20
61,2,"GF",10.4,16.5
61,4,"GF",24.8,19
62,2,"GF",33.5,27.5
63,2,"GF",25,23.5
64,4,"WC",14.1,14
64,6,"WC",15.7,17.5
64,7,"WC",25,19
65,1,"GF",19.7,16.5
65,3,"GF",37.2,27
65,4,"GF",30,28
66,1,"WL",47,30
67,1,"GF",19.1,14.5
67,5,"GF",46.3,30
67,6,"WL",57.5,3.4
68,1,"GF",78,42
68,2,"WC",58,33.5
68,3,"WC",28.9,20.5
69,1,"WC",49.6,27
69,2,"WC",52.8,28.5
69,3,"WC",44.5,27
70,1,"WC",15.8,17
70,2,"GF",35.7,34.5
70,5,"DF",25.3,27.5
71,1,"WC",14.8,14.5
71,2,"GF",30.5,23.5
71,3,"WC",12.2,14
72,1,"WC",38.2,23.5
72,2,"GF",27.5,23.5
72,3,"GF",14.6,23.5
73,1,"WC",54.5,26.5
73,4,"WL",18.2,19
74,1,"GF",32.2,23
74,2,"GF",35,23
75,1,"DF",50.2,30
75,2,"WC",10.8,10
76,1,"WC",14.4,10
76,2,"WC",22.6,14
77,1,"WC",40.5,18
78,1,"WC",43.7,27
78,2,"GF",64.4,42
79,1,"DF",29,23
79,2,"DF",52.5,27
80,1,"GF",24.8,24
80,3,"WC",46.6,25
80,5,"DF",28.3,21.5
81,1,"WC",15.3,13
81,2,"GF",58.8,25
81,3,"WC",59.5,23
82,1,"GF",65.6,35
82,2,"GF",10.5,9.5
82,3,"GF",19.6,18.5
83,1,"GF",44.1,30
83,2,"GF",24.5,22
83,3,"GF",24.8,21
84,1,"GF",50.6,32
84,2,"GF",45.3,30
84,3,"GF",17.1,12
85,1,"WC",69,40
85,2,"DF",71.6,35
85,7,"GF",41.5,28
86,1,"WC",45.5,33.5
86,2,"WC",72.5,35.5
87,1,"WC",44.3,20.5
87,2,"GF",15.5,14.5
87,3,"GF",14,9
88,1,"WC",47.3,30
88,2,"WC",43.3,29.5
88,3,"WL",70.8,42.5
89,1,"GF",79.8,31
89,2,"GF",22,18
90,1,"DF",44,32
90,2,"DF",55.8,26
90,3,"DF",60.7,26
91,1,"GF",12.1,10.5
91,2,"GF",30,17
91,3,"DF",47.6,25.5
92,1,"WC",30.9,17
92,3,"GF",33,29
92,5,"DF",51.5,29.5
93,1,"WC",50.8,28.5
94,1,"WC",53,23
96,1,"DF",43,18.5
97,1,"GF",46,28
97,2,"WC",59.4,33.3
97,3,"GF",33.8,24.1
98,1,"WC",20.1,16.1
98,6,"DF",26.2,14.5
98,7,"GF",10.8,14.8
99,1,"WC",51.2,27
99,2,"GF",43.5,26.4
99,3,"WC",37.1,28.8
100,1,"GF",42.1,32.4
100,2,"DF",78.5,37
100,3,"WC",10.1,9
101,1,"DF",49.4,23.6
101,2,"GF",60.7,30
101,3,"DF",46.3,30
102,4,"DF",55.1,18
103,1,"WC",65.4,35.5
103,2,"GF",23.9,23.2
104,1,"WC",28.4,19.3
104,4,"DF",19.7,11
105,1,"WC",28.2,20.5
105,2,"WC",22.2,18.7
105,3,"WC",11.9,11.5
106,1,"GF",24.5,23.8
106,2,"GF",31.4,27
106,3,"WC",12,12.8
107,1,"WC",15.9,12.5
107,2,"WC",27,17
107,3,"WC",27.7,20.5
108,1,"DF",43.8,17.9
108,2,"GF",39.7,19.5
109,1,"GF",47.5,27
109,2,"GF",49.8,24.5
110,2,"WC",42.3,30.5
110,3,"WC",48.8,24.5
110,4,"GF",81.2,47
111,1,"WC",45,28
111,2,"GF",56.5,30
111,3,"WC",53,23.5
112,1,"GF",52.2,35
112,4,"DF",34.3,25.5
112,6,"WC",34.1,24.5
113,1,"DF",23.9,21
113,4,"DF",41.3,26
114,1,"WL",19.7,18
114,2,"DF",15,16.5
114,3,"DF",43.2,24
116,1,"WL",26.8,22
118,1,"WL",28.6,29.5
118,2,"WL",30.2,29.5
119,2,"WC",31.4,28
119,3,"WC",26.6,19
120,1,"WC",34.1,25
121,1,"GF",33,17
121,3,"DF",26.7,15
121,4,"GF",23.4,20
122,1,"GF",31.2,19
122,2,"GF",35.2,24.5
122,3,"GF",25.7,18
122,4,"GF",16.3,9
123,1,"GF",40.1,19.5
123,2,"WC",17.6,16.5
124,1,"GF",42.5,28
124,2,"GF",31.4,23
124,3,"DF",27.1,21
125,1,"DF",40,21
125,3,"DF",51.3,31
126,1,"GF",28.4,23
126,2,"GF",39.3,25
126,3,"WC",33.7,17
128,1,"WC",21.3,15.5
128,4,"DF",20.1,16
129,1,"GF",45.4,25
129,2,"WC",29.7,20
131,1,"WC",22.8,12
131,2,"GF",29.2,23
131,3,"GF",38.3,24
132,1,"WC",17.4,12
132,2,"GF",23.9,17.5
135,1,"GF",18.9,16
135,2,"GF",20.5,13
135,3,"GF",21,18.5
136,1,"WC",55.5,27.5
136,2,"GF",16.4,13
136,3,"DF",56.5,37
137,1,"WC",37.3,20.5
138,1,"WC",20.7,14
139,1,"WC",44.6,28.5
139,3,"WC",36.7,25
139,7,"GF",44.5,27
141,1,"DF",31.6,20.5
142,1,"DF",28.3,24
142,3,"DF",52.2,27.5
142,4,"DF",22.5,20.5
143,1,"GF",28,21
143,2,"GF",33,20.5
143,7,"WC",47.8,20.5
144,1,"GF",10.2,16
144,2,"DF",31.5,22
144,4,"WL",26.5,25
